LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#defined a name for an internal node
JKMOBNNG	PRES01F07_bin.214
BEOGPAGM	PRES01F07_bin.215
PLLEKCIP	PRES01F07_bin.216
MIPJMFDG	PRES01F07_bin.217
LNDJFAJI	PRES01F07_bin.218
BHFNAKLF	PRES01F07_bin.219
KMLBNJKJ	PRES01F07_bin.21
OJFLBPAN	PRES01F07_bin.220
FFJHPAJB	PRES01F07_bin.221
LGOIMGDD	PRES01F07_bin.222
AMBEEBHD	PRES01F07_bin.223
MMBMAGDL	PRES01F07_bin.224
OEHIKMDH	PRES01F07_bin.225
PLKDEOBI	PRES01F07_bin.226
DLFJBAAI	PRES01F07_bin.227
LAEIPKDN	PRES01F07_bin.228
NHIPIHAF	PRES01F07_bin.229
LEODOFIF	PRES01F07_bin.22
MBOBAPBG	PRES01F07_bin.230
NBOADHFM	PRES01F07_bin.231
KFOKMDEE	PRES01F07_bin.232
EJBOGEIO	PRES01F07_bin.233
IOLAHDAA	PRES01F07_bin.234
MEPHIGHK	PRES01F07_bin.235
FELCDJJD	PRES01F07_bin.236
MBKKGHFJ	PRES01F07_bin.237
MBCNDKIA	PRES01F07_bin.238
DDHADIAC	PRES01F07_bin.239
KGKHENLK	PRES01F07_bin.23
EOHAAKLM	PRES01F07_bin.240
KOINFMEJ	PRES01F07_bin.241
LEGJDAFG	PRES01F07_bin.242
ONMFFJLH	PRES01F07_bin.243
CCGFGAME	PRES01F07_bin.244
BGPGFCHP	PRES01F07_bin.245
HJLMFDCO	PRES01F07_bin.246
IJNFPLCH	PRES01F07_bin.247
APIFFIJB	PRES01F07_bin.248
DFFPDJFM	PRES01F07_bin.249
AMGDKGLE	PRES01F07_bin.24
KFDHACCH	PRES01F07_bin.250
HKKJCCMO	PRES01F07_bin.251
KEHPDALA	PRES01F07_bin.252
NPKJOHFF	PRES01F07_bin.253
APPOBGBF	PRES01F07_bin.254
LDHCPMJE	PRES01F07_bin.255
FEFFILMN	PRES01F07_bin.256
DOOHMLDN	PRES01F07_bin.25
NFHIHHFL	PRES01F07_bin.26
POJAGPJE	PRES01F07_bin.27
LOAPAGBP	PRES01F07_bin.28
JMEAPBPM	PRES01F07_bin.29
CENFGKBC	PRES01F07_bin.2
FFMHKHPM	PRES01F07_bin.30
CNDJIIKL	PRES01F07_bin.31
KBHANECD	PRES01F07_bin.32
GCODIHJJ	PRES01F07_bin.33
NADOHPBC	PRES01F07_bin.34
FNKANNCM	PRES01F07_bin.35
OEIPDPII	PRES01F07_bin.36
BFKJOJIA	PRES01F07_bin.37
IKGMKHIE	PRES01F07_bin.38
ODDNOBOC	PRES01F07_bin.39
